filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,BC,arm,fueltype
3M50775,0.0194,0.0077,0.1443,0.2602,0.3411,0.1848,0.023,0.0148,0.2171,0.0046,2.575930641,Intervention,LPG
3M50783,0.0603,0.0077,0.0088,0.3684,1.2576,0.1691,0.0111,0.0093,0.0418,0.0031,11.48788761,Intervention,Biomass
3M50786,0.0159,0.0254,0.0802,0.271,0.1541,0.1392,0.0206,0.0038,0.0917,0.0194,2.554747001,Intervention,LPG
3M50794,0.0491,0.3327,0.0548,0.1706,0.1903,0.0787,0.023,0.0038,0.0997,0.0031,2.563241327,Intervention,LPG
3M50813,0.0783,0.3119,0.0088,0.1614,0.561,0.2734,0.0111,0.0038,0.0219,0.0031,4.892116288,Intervention,LPG
3M50821,0.0743,0.2677,0.1638,0.2292,0.6394,0.1521,0.0206,0.0038,0.1067,0.0155,5.112406666,Control,Biomass
3M50824,0.0807,0.0345,0.0088,0.4675,2.0684,0.6224,0.0184,0.0038,0.1266,0.0031,12.86530738,Control,Biomass
3M50825,0.0464,0.3377,0.8315,0.2067,0.3773,0.204,0.076,0.0442,0.4898,0.0082,2.623794217,Intervention,LPG
3M50829,0.151,0.2604,0.9776,0.5758,3.7906,0.8678,0.0484,0.0495,0.2869,0.0046,12.02412121,Intervention,Biomass
3M50833,0.0205,0.0077,0.0088,0.2402,0.3983,0.0572,0.0184,0.0148,0.1116,0.01,2.567415168,Intervention,LPG
3M50871,0.0066,0.0077,0.0088,0.7743,6.899,0.0696,0.0161,0.0121,0.0398,0.0212,11.95450085,Control,Biomass
3M50876,0.0475,0.0471,0.3256,0.4014,3.1989,0.3415,0.0111,0.0309,0.0488,0.0046,10.51080519,Control,Biomass
3M50877,0.1251,0.3795,0.8538,0.301,1.0006,0.4392,0.0391,0.0038,0.0648,0.0031,5.726621133,Control,Biomass
3M50888,0.086,0.3353,0.1136,0.1328,0.7422,0.1797,0.0111,0.0108,0.1185,0.0031,9.697128059,Control,Biomass
3M50889,0.1074,0.452,0.3665,0.1381,0.4799,0.3629,0.0111,0.0148,0.1445,0.0031,2.610565002,Control,Biomass
3M50890,0.0703,0.3561,0.1494,0.2204,0.6821,0.0984,0.0111,0.0038,0.1136,0.0031,12.93550737,Control,Biomass
